Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",189.625,"subtract11",0.405016
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",207.417,"fused_conv1d40_add311",0.443017
"float32[1, 8, 1]",1,"metal0",68.791,"vm.builtin.reshape",0.146929
"float32[1, 8], float32[1, 1]",1,"metal0",154.667,"fused_tir_square29_sum291",0.33035
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",155.417,"fused_broadcast_to_maximum_tir_sqrt12_divide291",0.331952
"float32[1, 8], float32[1, 1]",1,"metal0",174.917,"fused_tir_square29_sum291",0.373601
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",158.625,"fused_matmul_multiply29_subtract_add321",0.338804
"float32[1, 1024], int32[1, 1]",1,"metal0",342.375,"topk",0.731271
"int32[1, 1]",1,"metal0",63.875,"vm.builtin.reshape",0.136429
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",172.75,"take11",0.368973
"float32[1, 8]",1,"metal0",55.083,"vm.builtin.reshape",0.117651
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",339,"fused_conv1d41_add301",0.724062
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",192.958,"subtract11",0.412135
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",215.667,"fused_conv1d40_add311",0.460638
"float32[1, 8, 1]",1,"metal0",45.917,"vm.builtin.reshape",0.0980731
"float32[1, 8], float32[1, 1]",1,"metal0",171.75,"fused_tir_square29_sum291",0.366837
"float32[1, 1], float32[1, 8], float32[1, 8]",1,"metal0",169.583,"fused_broadcast_to_maximum_tir_sqrt12_divide291",0.362208
"float32[1, 8], float32[1, 1]",1,"metal0",149.667,"fused_tir_square29_sum291",0.31967
"float32[1, 8], float32[8, 1024], float32[1, 1], float32[1, 1024], float32[1, 1024]",1,"metal0",175.25,"fused_matmul_multiply29_subtract_add321",0.374313
"float32[1, 1024], int32[1, 1]",1,"metal0",316.917,"topk",0.676896
"int32[1, 1]",1,"metal0",87.125,"vm.builtin.reshape",0.186088
"float32[1024, 8], int32[1], float32[1, 8]",1,"metal0",181.5,"take11",0.387662
"float32[1, 8]",1,"metal0",65.5,"vm.builtin.reshape",0.1399
"float32[1, 8, 1], float32[1024, 8, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",178.708,"fused_conv1d41_add301",0.381698
"float32[1, 1024, 1], float32[1, 1024, 1], float32[1, 1024, 1]",1,"metal0",177.084,"subtract11",0.37823
"float32[1, 1024, 1], float32[8, 1024, 1], float32[1, 8, 1], float32[1, 8, 1]",1,"metal0",243.959,"fused_conv1d40_add311",0.521067
"float32[1, 8, 1]",1,"metal0",43.75,"vm.builtin.reshape",0.0934446
